
Ukrivljeni lok – Mlajše od 13 let
4,Zatler Edvard,075 - Društvo Šentlok,,,,74/0,74/0

Dolgi lok – Članice
Mesto,Tekmovalec,Klub,Kozarišče<br>19.4.2025,Gornji Grad<br>17.5.2025,Sveta Trojica nad Vrhniko<br>22.6.2025,Šentjur<br>12.7.2025,Skupaj
1,Volk Rupar Erika,006 - LK MINS Postojna,229/25,,219/25,194/25,642/75
2,Mavrič Pleško Irena,053 - ŠD VLR Vilijem,,,187/20,159/20,346/40
3,Ljubej Tanja,053 - ŠD VLR Vilijem,,208/25,,,208/25
4,Rejec Magdalena,074 - DL Eisnern,,,142/15,,142/15

Dolgi lok – Člani
Mesto,Tekmovalec,Klub,Kozarišče<br>19.4.2025,Gornji Grad<br>17.5.2025,Sveta Trojica nad Vrhniko<br>22.6.2025,Šentjur<br>12.7.2025,Skupaj
1,Dimic Janez,079 - ŠD Čelešnk,,271/25,258/25,245/20,774/70
2,Andrei Vuilov,063 - LK DLL Potens,281/25,,,250/25,531/50
3,Pleško Roman,053 - ŠD VLR Vilijem,,,242/20,237/15,479/35
4,Vuilov Andrei,063 - LK DLL Potens,,,241/15,,241/15
5,Oblak Anže,074 - DL Eisnern,,,240/12,,240/12
6,Hozjan Jožef,068 - LK Lendava,,,,219/12,219/12
7,Trdan Jošt,053 - ŠD VLR Vilijem,,,159/11,,159/11
8,Demšar Janez,074 - DL Eisnern,,79/0,,,79/0

Dolgi lok – Starejši od 50 let
Mesto,Tekmovalec,Klub,Kozarišče<br>19.4.2025,Gornji Grad<br>17.5.2025,Sveta Trojica nad Vrhniko<br>22.6.2025,Šentjur<br>12.7.2025,Skupaj
1,Ulaga Zlatko,075 - Društvo Šentlok,,277/25,224/15,248/25,749/65
2,Škofic Aleš,079 - ŠD Čelešnk,208/20,210/12,212/12,222/15,852/59
3,Fink Franci,051 - LK Turjak,235/25,238/20,209/10,,682/55
4,Kejžar Milan,028 - GLK Tržič,,,211/11,228/20,439/31
5,Grahovar Branko,053 - ŠD VLR Vilijem,,,234/25,,234/25
6,Oblak Jurij,074 - DL Eisnern,,,228/20,,228/20
7,Ujčič Danijel,052 - DLLL Snežniška Diana,185/15,,,,185/15
8,Dimic Dušan,079 - ŠD Čelešnk,,214/15,,,214/15
9,Frece Miran,075 - Društvo Šentlok,,,,212/12,212/12
10,Fidler Darko,075 - Društvo Šentlok,,,,181/11,181/11

Ukrivljeni lok – Člani
Mesto,Tekmovalec,Klub,Kozarišče<br>19.4.2025,Gornji Grad<br>17.5.2025,Sveta Trojica nad Vrhniko<br>22.6.2025,Šentjur<br>12.7.2025,Skupaj
1,Samec Andraž,067 - LK Budanje,,292/11,311/25,292/25,895/61
2,Ravnikar Žiga,005 - LK Kamnik,,371/25,,,371/25
3,Arnež Luka,005 - LK Kamnik,,348/20,,,348/20
4,Habjan Den,005 - LK Kamnik,,345/15,,,345/15
5,Podkrajšek Sergej,002 - LK Maribor,,324/12,,,324/12
6,Obradović Aleksa,066 - LK Paradoks,,287/10,,,287/10

Ukrivljeni lok – Mlajši od 21 let
Mesto,Tekmovalec,Klub,Kozarišče<br>19.4.2025,Gornji Grad<br>17.5.2025,Sveta Trojica nad Vrhniko<br>22.6.2025,Šentjur<br>12.7.2025,Skupaj
1,Onassis Niki,048 - LS Ljutomer,,180/25,,,180/25
2,Vrbec Samo,005 - LK Kamnik,,,,301/25,301/25

Goli lok – Starejše od 50 let
Mesto,Tekmovalec,Klub,Kozarišče<br>19.4.2025,Gornji Grad<br>17.5.2025,Sveta Trojica nad Vrhniko<br>22.6.2025,Šentjur<br>12.7.2025,Skupaj
1,Pustovrh Ana,028 - GLK Tržič,,,176/25,196/25,372/50
2,Gutman Tina,008 - LK Gornji Grad,,267/25,,,267/25
3,Operčkal Marta,075 - Društvo Šentlok,,,,165/20,165/20

Ukrivljeni lok – Članice
Mesto,Tekmovalec,Klub,Kozarišče<br>19.4.2025,Gornji Grad<br>17.5.2025,Sveta Trojica nad Vrhniko<br>22.6.2025,Šentjur<br>12.7.2025,Skupaj
1,Čavič Urška,066 - LK Paradoks,,,343/25,,343/25
2,Ana Umer,007 - LK Ankaran,,,334/20,,334/20

Sestavljeni lok – Mlajši od 13 let
Mesto,Tekmovalec,Klub,Kozarišče<br>19.4.2025,Gornji Grad<br>17.5.2025,Sveta Trojica nad Vrhniko<br>22.6.2025,Šentjur<br>12.7.2025,Skupaj
1,Zorjan Žiga,001 - LK Muta,,,333/25,322/25,655/50

Sestavljeni lok – Mlajši od 21 let
Mesto,Tekmovalec,Klub,Kozarišče<br>19.4.2025,Gornji Grad<br>17.5.2025,Sveta Trojica nad Vrhniko<br>22.6.2025,Šentjur<br>12.7.2025,Skupaj
1,Primožič Gogala Viktor,007 - LK Ankaran,,,364/25,,364/25
